Move;value;visited;score
PROPOSE; value 1: 4.255995147374536; round: 20; ; value 2: 4.249680264246391; round: 20; ; value 3: 2.5556600714817637; round: 20; ; value 4: 2.0529009874434547; round: 20; ; value 5: 1.2348621748425153; round: 20; ; value 6: 5.594966971450242; round: 20; ; value 7: 8.050880517796244; round: 20; ; value 8: 8.13321220025985; round: 20; ; value 9: 8.601217814518883; round: 20; ; value 10: 5.15940596497524; round: 20; ;0.5121531199169779;51;0.5121531199169779
PROPOSE; value 1: 0.6068327641130971; round: 20; ; value 2: 3.0575324074466175; round: 20; ; value 3: 4.699828204791686; round: 20; ; value 4: 3.9491467839028327; round: 20; ; value 5: 7.692795680564194; round: 20; ; value 6: 5.051463303168845; round: 20; ; value 7: 1.8170921360639505; round: 20; ; value 8: 1.2297906251562938; round: 20; ; value 9: 2.4115094173115845; round: 20; ; value 10: 1.833726071404317; round: 20; ;0.5030642310298101;51;0.5030642310298101
PROPOSE; value 1: 8.775004296205925; round: 20; ; value 2: 2.65010320155454; round: 20; ; value 3: 4.4207898197284425; round: 20; ; value 4: 7.706849304621466; round: 20; ; value 5: 8.00584763345255; round: 20; ; value 6: 4.52121892086711; round: 20; ; value 7: 7.872350343011111; round: 20; ; value 8: 1.3950382539904036; round: 20; ; value 9: 3.2050185046823376; round: 20; ; value 10: 3.2608176254356165; round: 20; ;0.5416714666180653;57;0.5416714666180653
PROPOSE; value 1: 8.62932374861441; round: 20; ; value 2: 6.216757453026816; round: 20; ; value 3: 7.33353745028743; round: 20; ; value 4: 6.565427895275945; round: 20; ; value 5: 1.5485178014046301; round: 20; ; value 6: 7.878912844094545; round: 20; ; value 7: 0.08523254022422178; round: 20; ; value 8: 4.132201190230526; round: 20; ; value 9: 4.015466308937817; round: 20; ; value 10: 8.843161360573427; round: 20; ;0.5479308352887589;51;0.5479308352887589
PROPOSE; value 1: 2.5898335902350134; round: 20; ; value 2: 3.5924750838745734; round: 20; ; value 3: 2.2343629834753442; round: 20; ; value 4: 5.888037912733584; round: 20; ; value 5: 4.4399375880664795; round: 20; ; value 6: 8.255163287927832; round: 20; ; value 7: 6.378553078875275; round: 20; ; value 8: 4.18700463748336; round: 20; ; value 9: 0.11679108831478502; round: 20; ; value 10: 4.65989278478793; round: 20; ;0.5334656828952888;53;0.5334656828952888
PROPOSE; value 1: 1.145534525508158; round: 20; ; value 2: 6.570099798432105; round: 20; ; value 3: 1.567064322629163; round: 20; ; value 4: 7.846582279461847; round: 20; ; value 5: 7.5831753568370885; round: 20; ; value 6: 7.1224365834282715; round: 20; ; value 7: 4.921152912790642; round: 20; ; value 8: 4.1994646704287515; round: 20; ; value 9: 5.571315852787805; round: 20; ; value 10: 6.56202134328859; round: 20; ;0.5125311878816159;50;0.5125311878816159
PROPOSE; value 1: 8.914302380978246; round: 20; ; value 2: 5.045368160033491; round: 20; ; value 3: 4.881106512044755; round: 20; ; value 4: 8.378741030301256; round: 20; ; value 5: 1.7599415897552495; round: 20; ; value 6: 1.3461037411373944; round: 20; ; value 7: 3.044206685028501; round: 20; ; value 8: 3.518936256545863; round: 20; ; value 9: 2.2631081296752287; round: 20; ; value 10: 6.370068429166564; round: 20; ;0.5375677336636809;56;0.5375677336636809
PROPOSE; value 1: 6.831756318734798; round: 20; ; value 2: 0.9593516021213155; round: 20; ; value 3: 2.916500163504483; round: 20; ; value 4: 3.633014229587534; round: 20; ; value 5: 7.093396496634922; round: 20; ; value 6: 8.279699172721902; round: 20; ; value 7: 0.47181485987024463; round: 20; ; value 8: 2.172888745456988; round: 20; ; value 9: 6.857561837063255; round: 20; ; value 10: 1.345085843978305; round: 20; ;0.5401298493184785;51;0.5401298493184785
PROPOSE; value 1: 3.8354831423446165; round: 20; ; value 2: 2.9445359062232583; round: 20; ; value 3: 1.860406104181517; round: 20; ; value 4: 5.900082909638552; round: 20; ; value 5: 0.15842415933078946; round: 20; ; value 6: 1.66971852885698; round: 20; ; value 7: 1.0136794431836091; round: 20; ; value 8: 4.524589160850864; round: 20; ; value 9: 5.36202573194557; round: 20; ; value 10: 6.236893588817609; round: 20; ;0.5386718253252356;50;0.5386718253252356
PROPOSE; value 1: 7.426596906114747; round: 20; ; value 2: 2.1911833906181237; round: 20; ; value 3: 6.459874007249575; round: 20; ; value 4: 4.622662691490002; round: 20; ; value 5: 7.392440895786141; round: 20; ; value 6: 2.658234363160587; round: 20; ; value 7: 2.374337120778591; round: 20; ; value 8: 2.263007743701458; round: 20; ; value 9: 1.5686632875083153; round: 20; ; value 10: 3.2835070943336504; round: 20; ;0.517985767004925;54;0.517985767004925
PROPOSE; value 1: 5.067564062202166; round: 20; ; value 2: 6.544147755501314; round: 20; ; value 3: 4.993786722947442; round: 20; ; value 4: 2.718499347919973; round: 20; ; value 5: 4.528372500696287; round: 20; ; value 6: 4.567110509941715; round: 20; ; value 7: 1.376310093016652; round: 20; ; value 8: 1.2250103026703845; round: 20; ; value 9: 4.976641889582001; round: 20; ; value 10: 2.864838100917562; round: 20; ;0.5218726379193546;53;0.5218726379193546
PROPOSE; value 1: 1.3738807890920555; round: 20; ; value 2: 0.13286741717992734; round: 20; ; value 3: 1.9971827474142896; round: 20; ; value 4: 1.462324171376352; round: 20; ; value 5: 5.207458489869571; round: 20; ; value 6: 4.707624481681643; round: 20; ; value 7: 0.20535283943568994; round: 20; ; value 8: 0.5716134557359881; round: 20; ; value 9: 7.469159116220267; round: 20; ; value 10: 1.9099689958214152; round: 20; ;0.507984626540373;53;0.507984626540373
